depto,codigo_alt,entidad,tipo_entidad,anio,clasificacion_ofpuj,clas_gen,total_recaudo
Córdoba,23001,Montería,Municipio,2024,Sobretasa ambiental,Ingresos propios,9095214372
Córdoba,23001,Montería,Municipio,2024,Sobretasa ambiental,Ingresos propios,1321531657
Córdoba,23001,Montería,Municipio,2024,Impuesto predial unificado,Ingresos propios,60303050596
Córdoba,23001,Montería,Municipio,2024,Impuesto predial unificado,Ingresos propios,8935640732
Córdoba,23001,Montería,Municipio,2024,Sobretasa a la gasolina,Ingresos propios,24217583000
Córdoba,23001,Montería,Municipio,2024,Impuesto de industria y comercio,Ingresos propios,26244595534
Córdoba,23001,Montería,Municipio,2024,Impuesto de industria y comercio,Ingresos propios,1433259681
Córdoba,23001,Montería,Municipio,2024,Impuesto de industria y comercio,Ingresos propios,65575691033
Córdoba,23001,Montería,Municipio,2024,Impuesto complementario de avisos y tableros,Ingresos propios,7893252818
Córdoba,23001,Montería,Municipio,2024,Otros ingresos tributarios,Ingresos propios,442926115
Córdoba,23001,Montería,Municipio,2024,Impuesto de delineacion,Ingresos propios,1024040625
Córdoba,23001,Montería,Municipio,2024,Otros ingresos tributarios,Ingresos propios,1084673979
Córdoba,23001,Montería,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,67486643859
Córdoba,23001,Montería,Municipio,2024,Sobretasa bomberil,Ingresos propios,4653701523
Córdoba,23001,Montería,Municipio,2024,Otros ingresos tributarios,Ingresos propios,3803363248
Córdoba,23001,Montería,Municipio,2024,Otros ingresos tributarios,Ingresos propios,5926913297
Córdoba,23001,Montería,Municipio,2024,Otros ingresos tributarios,Ingresos propios,3677405915
Córdoba,23001,Montería,Municipio,2024,Tasa prodeporte y recreacion,Ingresos propios,2682688771
Córdoba,23001,Montería,Municipio,2024,Estampillas,Ingresos propios,5920725379
Córdoba,23001,Montería,Municipio,2024,Estampillas,Ingresos propios,3245104687
Córdoba,23001,Montería,Municipio,2024,Estampillas,Ingresos propios,514440751
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,120859317
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,6812195424
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,508205457
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,467626741
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,3294413112
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,6282995439
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,4293307400
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,1673242509
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,111721796
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,2650055674
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,420607252493
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,6932559489
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,8058587558
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,178356375669
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,6423862963
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,2322228443
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,1741671332
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,22061170207
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,3844754176
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,13390842359
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,12115524038
Córdoba,23001,Montería,Municipio,2024,Sistema general de participaciones,Transferencias,6376591599
Córdoba,23001,Montería,Municipio,2024,Otras transferencias,Transferencias,6028600534
Córdoba,23001,Montería,Municipio,2024,Otras transferencias,Transferencias,22652560000
Córdoba,23001,Montería,Municipio,2024,Otras transferencias,Transferencias,212897981
Córdoba,23001,Montería,Municipio,2024,Otras transferencias,Transferencias,4407956236
Córdoba,23001,Montería,Municipio,2024,Otras transferencias,Transferencias,3988078351
Córdoba,23001,Montería,Municipio,2024,Recursos del sistema de seguridad social integral,Transferencias,336174687587
Córdoba,23001,Montería,Municipio,2024,Recursos del sistema de seguridad social integral,Transferencias,17251777433
Córdoba,23001,Montería,Municipio,2024,"Tasas, multas y contribuciones",Ingresos propios,8023027073
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,165447789
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,35882450
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,9601507
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,503838
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,2374611988
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,64305381
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,16697973011
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,599326985
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,25165609
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,977509812
Córdoba,23001,Montería,Municipio,2024,Recursos de crédito,Recursos de capital,9969000000
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,6761896780
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,7182056664
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,14394928485
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,3799504420
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,1505632647
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,2738502981
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,296253072
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,613644450
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,779582987
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,14553749
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,6604792715
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,386875391
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,903901488
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,22477695563
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,7679542656
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,9913741233
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,530454366
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,365437110
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,2218177157
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,25350469100
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,1721257623
Córdoba,23001,Montería,Municipio,2024,Recursos del balance,Recursos de capital,6593500434
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,320558000
Córdoba,23001,Montería,Municipio,2024,Otros recursos de capital,Recursos de capital,10744480953
Meta,50001,Villavicencio,Municipio,2024,Sobretasa ambiental,Ingresos propios,14053420534
Meta,50001,Villavicencio,Municipio,2024,Impuesto predial unificado,Ingresos propios,75320060335
Meta,50001,Villavicencio,Municipio,2024,Impuesto predial unificado,Ingresos propios,1938362480
Meta,50001,Villavicencio,Municipio,2024,Impuesto predial unificado,Ingresos propios,953934340
Meta,50001,Villavicencio,Municipio,2024,Impuesto predial unificado,Ingresos propios,66707347
Meta,50001,Villavicencio,Municipio,2024,Impuesto predial unificado,Ingresos propios,947355587
Meta,50001,Villavicencio,Municipio,2024,Sobretasa a la gasolina,Ingresos propios,446172675
Meta,50001,Villavicencio,Municipio,2024,Sobretasa a la gasolina,Ingresos propios,297448450
Meta,50001,Villavicencio,Municipio,2024,Sobretasa a la gasolina,Ingresos propios,146113307
Meta,50001,Villavicencio,Municipio,2024,Sobretasa a la gasolina,Ingresos propios,297448450
Meta,50001,Villavicencio,Municipio,2024,Sobretasa a la gasolina,Ingresos propios,28557662118
Meta,50001,Villavicencio,Municipio,2024,Impuesto de industria y comercio,Ingresos propios,1459801533
Meta,50001,Villavicencio,Municipio,2024,Impuesto de industria y comercio,Ingresos propios,973082330
Meta,50001,Villavicencio,Municipio,2024,Impuesto de industria y comercio,Ingresos propios,515335493
Meta,50001,Villavicencio,Municipio,2024,Impuesto de industria y comercio,Ingresos propios,973004385
Meta,50001,Villavicencio,Municipio,2024,Impuesto de industria y comercio,Ingresos propios,94434241511
Meta,50001,Villavicencio,Municipio,2024,Impuesto complementario de avisos y tableros,Ingresos propios,83877911
Meta,50001,Villavicencio,Municipio,2024,Impuesto complementario de avisos y tableros,Ingresos propios,8075292440
Meta,50001,Villavicencio,Municipio,2024,Impuesto complementario de avisos y tableros,Ingresos propios,3248467
Meta,50001,Villavicencio,Municipio,2024,Impuesto complementario de avisos y tableros,Ingresos propios,83877911
Meta,50001,Villavicencio,Municipio,2024,Impuesto complementario de avisos y tableros,Ingresos propios,125816858
Meta,50001,Villavicencio,Municipio,2024,Otros ingresos tributarios,Ingresos propios,377130517
Meta,50001,Villavicencio,Municipio,2024,Otros ingresos tributarios,Ingresos propios,1624827
Meta,50001,Villavicencio,Municipio,2024,Otros ingresos tributarios,Ingresos propios,3928290
Meta,50001,Villavicencio,Municipio,2024,Otros ingresos tributarios,Ingresos propios,5892435
Meta,50001,Villavicencio,Municipio,2024,Otros ingresos tributarios,Ingresos propios,3928290
Meta,50001,Villavicencio,Municipio,2024,Otros ingresos tributarios,Ingresos propios,660364100
Meta,50001,Villavicencio,Municipio,2024,Impuesto de delineacion,Ingresos propios,298063859
Meta,50001,Villavicencio,Municipio,2024,Impuesto de delineacion,Ingresos propios,6863973964
Meta,50001,Villavicencio,Municipio,2024,Impuesto de delineacion,Ingresos propios,215068787
Meta,50001,Villavicencio,Municipio,2024,Impuesto de delineacion,Ingresos propios,36347349
Meta,50001,Villavicencio,Municipio,2024,Impuesto de delineacion,Ingresos propios,376656
Meta,50001,Villavicencio,Municipio,2024,Impuesto de delineacion,Ingresos propios,71108293
Meta,50001,Villavicencio,Municipio,2024,Impuesto de delineacion,Ingresos propios,3093028
Meta,50001,Villavicencio,Municipio,2024,Impuesto de delineacion,Ingresos propios,8145871
Meta,50001,Villavicencio,Municipio,2024,Impuesto de delineacion,Ingresos propios,941641
Meta,50001,Villavicencio,Municipio,2024,Otros ingresos tributarios,Ingresos propios,383049561
Meta,50001,Villavicencio,Municipio,2024,Otros ingresos tributarios,Ingresos propios,3975500
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,8329675278
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,647852077
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,13098749
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,1503570019
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,2826058070
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,40913270
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,4554000
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,36748458851
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,380869915
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,1111500
Meta,50001,Villavicencio,Municipio,2024,Impuesto de alumbrado publico,Ingresos propios,70459000
